,medal_type,country_code,discipline,code_athlete
1504,Gold,CHN,Artistic Swimming,1908855
1505,Gold,CHN,Artistic Swimming,1908854
1506,Gold,CHN,Artistic Swimming,1908851
1507,Gold,CHN,Artistic Swimming,1908848
1508,Silver,USA,Artistic Swimming,1943038
1509,Silver,USA,Artistic Swimming,1943040
1510,Silver,USA,Artistic Swimming,1943042
1511,Silver,USA,Artistic Swimming,1943043
1512,Silver,USA,Artistic Swimming,1943044
1513,Silver,USA,Artistic Swimming,1943046
1514,Silver,USA,Artistic Swimming,1943048
1515,Silver,USA,Artistic Swimming,1943049
1516,Silver,USA,Artistic Swimming,1943045
1517,Bronze,ESP,Artistic Swimming,1954818
1518,Bronze,ESP,Artistic Swimming,1954815
1519,Bronze,ESP,Artistic Swimming,1954814
1520,Bronze,ESP,Artistic Swimming,1954819
1521,Bronze,ESP,Artistic Swimming,1954816
1522,Bronze,ESP,Artistic Swimming,1954813
1523,Bronze,ESP,Artistic Swimming,1954811
1524,Bronze,ESP,Artistic Swimming,1954809
1525,Bronze,ESP,Artistic Swimming,1954817
1526,Gold,ESP,Athletics,1904165
1527,Gold,ESP,Athletics,1905369
1528,Silver,ECU,Athletics,1929767
1529,Silver,ECU,Athletics,1930407
1530,Bronze,AUS,Athletics,1939848
1531,Bronze,AUS,Athletics,1939791
1532,Gold,AUS,Cycling Track,1940264
1533,Gold,AUS,Cycling Track,1940258
1534,Gold,AUS,Cycling Track,1940265
1535,Gold,AUS,Cycling Track,1940253
1536,Gold,AUS,Cycling Track,1940256
1537,Silver,GBR,Cycling Track,1912571
1538,Silver,GBR,Cycling Track,1912575
1539,Silver,GBR,Cycling Track,1912510
1540,Silver,GBR,Cycling Track,1912560
1541,Silver,GBR,Cycling Track,1957081
1542,Silver,GBR,Cycling Track,1912557
1543,Bronze,ITA,Cycling Track,1923518
1544,Bronze,ITA,Cycling Track,1923520
1545,Bronze,ITA,Cycling Track,1923517
1546,Bronze,ITA,Cycling Track,1923529
1547,Bronze,ITA,Cycling Track,1923521
1548,Gold,USA,Cycling Track,1955077
1549,Gold,USA,Cycling Track,1955080
1550,Gold,USA,Cycling Track,1955081
1551,Gold,USA,Cycling Track,1955106
1552,Gold,USA,Cycling Track,1955108
1553,Gold,USA,Cycling Track,1955079
1554,Silver,NZL,Cycling Track,1945056
1555,Silver,NZL,Cycling Track,1945080
1556,Silver,NZL,Cycling Track,1945081
1557,Silver,NZL,Cycling Track,1945061
1558,Silver,NZL,Cycling Track,1945066
1559,Bronze,GBR,Cycling Track,1912519
1560,Bronze,GBR,Cycling Track,1912507
1561,Bronze,GBR,Cycling Track,1912532
1562,Bronze,GBR,Cycling Track,1912538
1563,Bronze,GBR,Cycling Track,1957083
1564,Bronze,GBR,Cycling Track,1912508
1565,Gold,CHN,Canoe Sprint,1927393
1566,Gold,CHN,Canoe Sprint,1927392
1567,Silver,ITA,Canoe Sprint,1548871
1568,Silver,ITA,Canoe Sprint,1548868
1569,Bronze,ESP,Canoe Sprint,1954023
1570,Bronze,ESP,Canoe Sprint,1953996
1571,Gold,GER,Canoe Sprint,1913740
1572,Gold,GER,Canoe Sprint,1913736
1573,Gold,GER,Canoe Sprint,1913746
1574,Gold,GER,Canoe Sprint,1913737
1575,Silver,AUS,Canoe Sprint,1940222
1576,Silver,AUS,Canoe Sprint,1940221
1577,Silver,AUS,Canoe Sprint,1940217
1578,Silver,AUS,Canoe Sprint,1940220
1579,Bronze,ESP,Canoe Sprint,1953992
1580,Bronze,ESP,Canoe Sprint,1953983
1581,Bronze,ESP,Canoe Sprint,1954051
1582,Bronze,ESP,Canoe Sprint,1954008
1583,Gold,NZL,Canoe Sprint,1945383
1584,Gold,NZL,Canoe Sprint,1945378
1585,Gold,NZL,Canoe Sprint,1945392
1586,Gold,NZL,Canoe Sprint,1945375
1587,Silver,GER,Canoe Sprint,1913800
1588,Silver,GER,Canoe Sprint,1913749
1589,Silver,GER,Canoe Sprint,1913793
1590,Silver,GER,Canoe Sprint,1913743
1591,Bronze,HUN,Canoe Sprint,1570556
1592,Bronze,HUN,Canoe Sprint,1568745
1593,Bronze,HUN,Canoe Sprint,1568350
1594,Bronze,HUN,Canoe Sprint,1568750
1595,Bronze,MAR,Football,1974002
1596,Bronze,MAR,Football,1970338
1597,Bronze,MAR,Football,1966721
1598,Bronze,MAR,Football,1965671
1599,Bronze,MAR,Football,1974721
1600,Bronze,MAR,Football,1965956
1601,Bronze,MAR,Football,1967241
1602,Bronze,MAR,Football,1966630
1603,Bronze,MAR,Football,1970731
1604,Bronze,MAR,Football,1965995
1605,Bronze,MAR,Football,1965809
1606,Bronze,MAR,Football,1965515
1607,Bronze,MAR,Football,1966539
1608,Bronze,MAR,Football,1966919
1609,Bronze,MAR,Football,1967172
1610,Bronze,MAR,Football,1966639
1611,Bronze,MAR,Football,1966642
1612,Bronze,MAR,Football,1966624
1613,Bronze,MAR,Football,1967053
1614,Gold,NED,Hockey,1971941
1615,Gold,NED,Hockey,1971905
1616,Gold,NED,Hockey,1971929
1617,Gold,NED,Hockey,1971922
1618,Gold,NED,Hockey,1971917
1619,Gold,NED,Hockey,1971904
1620,Gold,NED,Hockey,1971921
1621,Gold,NED,Hockey,1971911
1622,Gold,NED,Hockey,1971976
1623,Gold,NED,Hockey,1971980
1624,Gold,NED,Hockey,1971934
1625,Gold,NED,Hockey,1971909
1626,Gold,NED,Hockey,1971956
1627,Gold,NED,Hockey,1971932
1628,Gold,NED,Hockey,1971910
1629,Gold,NED,Hockey,1971963
1630,Gold,NED,Hockey,1971968
1631,Gold,NED,Hockey,1971952
1632,Silver,GER,Hockey,1561321
1633,Silver,GER,Hockey,1561319
1634,Silver,GER,Hockey,1561323
1635,Silver,GER,Hockey,1561318
1636,Silver,GER,Hockey,1561325
1637,Silver,GER,Hockey,1561362
1638,Silver,GER,Hockey,1561360
1639,Silver,GER,Hockey,1561365
1640,Silver,GER,Hockey,1561316
1641,Silver,GER,Hockey,1561413
1642,Silver,GER,Hockey,1561322
1643,Silver,GER,Hockey,1561381
1644,Silver,GER,Hockey,1561320
1645,Silver,GER,Hockey,1561324
1646,Silver,GER,Hockey,1561377
1647,Silver,GER,Hockey,1561374
1648,Silver,GER,Hockey,1561386
1649,Silver,GER,Hockey,1561402
1650,Bronze,IND,Hockey,1543019
1651,Bronze,IND,Hockey,1543026
1652,Bronze,IND,Hockey,1543059
1653,Bronze,IND,Hockey,1543020
1654,Bronze,IND,Hockey,1543033
1655,Bronze,IND,Hockey,1543061
1656,Bronze,IND,Hockey,1543022
1657,Bronze,IND,Hockey,1543017
1658,Bronze,IND,Hockey,1543028
1659,Bronze,IND,Hockey,1543015
1660,Bronze,IND,Hockey,1543064
1661,Bronze,IND,Hockey,1543024
1662,Bronze,IND,Hockey,1543029
1663,Bronze,IND,Hockey,1543031
1664,Bronze,IND,Hockey,1543021
1665,Bronze,IND,Hockey,1543030
1666,Gold,AUT,Sailing,1566451
1667,Gold,AUT,Sailing,1566447
1668,Silver,JPN,Sailing,1941435
1669,Silver,JPN,Sailing,1941438
1670,Bronze,SWE,Sailing,1564652
1671,Bronze,SWE,Sailing,1564651
1672,Gold,ITA,Sailing,1899650
1673,Gold,ITA,Sailing,1899647
1674,Silver,ARG,Sailing,1538041
1675,Silver,ARG,Sailing,1538028
1676,Bronze,NZL,Sailing,1918835
1677,Bronze,NZL,Sailing,1918832
1678,Gold,CAN,Athletics,1974038
1679,Gold,CAN,Athletics,1974049
1680,Gold,CAN,Athletics,1974065
1681,Gold,CAN,Athletics,1974072
1682,Gold,CAN,Athletics,1974096
1683,Gold,CAN,Athletics,1974289
1684,Silver,RSA,Athletics,1981059
1685,Silver,RSA,Athletics,4343340
1686,Silver,RSA,Athletics,1981060
1687,Silver,RSA,Athletics,1981055
1688,Silver,RSA,Athletics,4339445
1689,Bronze,GBR,Athletics,1924439
1690,Bronze,GBR,Athletics,3557190
1691,Bronze,GBR,Athletics,1924431
1692,Bronze,GBR,Athletics,1924442
1693,Bronze,GBR,Athletics,1924457
1694,Gold,USA,Athletics,1960709
1695,Gold,USA,Athletics,1960115
1696,Gold,USA,Athletics,1961011
1697,Gold,USA,Athletics,1960181
1698,Gold,USA,Athletics,1965942
1699,Gold,USA,Athletics,1965868
1700,Silver,GBR,Athletics,1924384
1701,Silver,GBR,Athletics,1956843
1702,Silver,GBR,Athletics,1924432
1703,Silver,GBR,Athletics,1924446
1704,Silver,GBR,Athletics,1924460
1705,Silver,GBR,Athletics,1924507
1706,Bronze,GER,Athletics,1920096
1707,Bronze,GER,Athletics,1920119
1708,Bronze,GER,Athletics,1920142
1709,Bronze,GER,Athletics,1920164
1710,Bronze,GER,Athletics,1920169
1711,Gold,BRA,Beach Volleyball,1964058
1712,Gold,BRA,Beach Volleyball,1964088
1713,Silver,CAN,Beach Volleyball,1967340
1714,Silver,CAN,Beach Volleyball,1967346
1715,Bronze,SUI,Beach Volleyball,1976570
1716,Bronze,SUI,Beach Volleyball,1976465
1717,Gold,GER,Canoe Sprint,1913746
1718,Gold,GER,Canoe Sprint,1913736
1719,Silver,HUN,Canoe Sprint,1570441
1720,Silver,HUN,Canoe Sprint,1570845
1721,Bronze,AUS,Canoe Sprint,1940218
1722,Bronze,AUS,Canoe Sprint,1940223
1723,Gold,CHN,Canoe Sprint,1927382
1724,Gold,CHN,Canoe Sprint,1927383
1725,Silver,UKR,Canoe Sprint,1897153
1726,Silver,UKR,Canoe Sprint,1897155
1727,Bronze,CAN,Canoe Sprint,1964583
1728,Bronze,CAN,Canoe Sprint,1964547
1729,Gold,NZL,Canoe Sprint,1945383
1730,Gold,NZL,Canoe Sprint,1945378
1731,Silver,HUN,Canoe Sprint,1568350
1732,Silver,HUN,Canoe Sprint,1568750
1733,Bronze,GER,Canoe Sprint,1913800
1734,Bronze,GER,Canoe Sprint,1913749
1735,Bronze,HUN,Canoe Sprint,1570556
1736,Bronze,HUN,Canoe Sprint,1568745
1737,Gold,ITA,Cycling Track,1923042
1738,Gold,ITA,Cycling Track,1923048
1739,Silver,GBR,Cycling Track,1912519
1740,Silver,GBR,Cycling Track,1912507
1741,Bronze,NED,Cycling Track,1969170
1742,Bronze,NED,Cycling Track,1969173
1743,Gold,ESP,Football,1942296
1744,Gold,ESP,Football,1942269
1745,Gold,ESP,Football,1942241
1746,Gold,ESP,Football,1942076
1747,Gold,ESP,Football,1942056
1748,Gold,ESP,Football,1942037
1749,Gold,ESP,Football,1942222
1750,Gold,ESP,Football,1942301
1751,Gold,ESP,Football,1942280
1752,Gold,ESP,Football,1942033
1753,Gold,ESP,Football,1942221
1754,Gold,ESP,Football,1942259
1755,Gold,ESP,Football,1942077
1756,Gold,ESP,Football,1942257
1757,Gold,ESP,Football,1942099
1758,Gold,ESP,Football,1942039
1759,Gold,ESP,Football,1942089
1760,Gold,ESP,Football,1942256
1761,Gold,ESP,Football,1942248
1762,Gold,ESP,Football,1942289
1763,Gold,ESP,Football,1942046
1764,Gold,ESP,Football,1942104
1765,Silver,FRA,Football,1900695
1766,Silver,FRA,Football,1900683
1767,Silver,FRA,Football,1900718
1768,Silver,FRA,Football,4669223
1769,Silver,FRA,Football,1900709
1770,Silver,FRA,Football,1900672
1771,Silver,FRA,Football,1900699
1772,Silver,FRA,Football,1900626
1773,Silver,FRA,Football,1900668
1774,Silver,FRA,Football,1900674
1775,Silver,FRA,Football,1900653
1776,Silver,FRA,Football,1900694
1777,Silver,FRA,Football,1900644
1778,Silver,FRA,Football,3549727
1779,Silver,FRA,Football,1900682
1780,Silver,FRA,Football,1900702
1781,Silver,FRA,Football,1900684
1782,Silver,FRA,Football,1900641
1783,Silver,FRA,Football,1900690
1784,Silver,FRA,Football,1900651
1785,Silver,FRA,Football,1900680
1786,Bronze,GER,Football,1880591
1787,Bronze,GER,Football,1880576
1788,Bronze,GER,Football,1880566
1789,Bronze,GER,Football,1880606
1790,Bronze,GER,Football,1880595
1791,Bronze,GER,Football,1880574
1792,Bronze,GER,Football,1880572
1793,Bronze,GER,Football,1880581
1794,Bronze,GER,Football,1880584
1795,Bronze,GER,Football,1880573
1796,Bronze,GER,Football,1880564
1797,Bronze,GER,Football,1880602
1798,Bronze,GER,Football,1880565
1799,Bronze,GER,Football,1880609
1800,Bronze,GER,Football,1880575
1801,Bronze,GER,Football,1880592
1802,Bronze,GER,Football,1880583
1803,Bronze,GER,Football,1880610
1804,Bronze,GER,Football,1880571
1805,Bronze,GER,Football,1880578
1806,Gold,NED,Hockey,1971974
1807,Gold,NED,Hockey,1971927
1808,Gold,NED,Hockey,1971955
1809,Gold,NED,Hockey,1971960
1810,Gold,NED,Hockey,1971978
1811,Gold,NED,Hockey,1971940
1812,Gold,NED,Hockey,1971948
1813,Gold,NED,Hockey,1971903
1814,Gold,NED,Hockey,1971975
1815,Gold,NED,Hockey,1971945
1816,Gold,NED,Hockey,1971950
1817,Gold,NED,Hockey,1971919
1818,Gold,NED,Hockey,1971942
1819,Gold,NED,Hockey,1971965
1820,Gold,NED,Hockey,1971973
1821,Gold,NED,Hockey,1971958
1822,Gold,NED,Hockey,1971923
1823,Silver,CHN,Hockey,1926915
1824,Silver,CHN,Hockey,1926896
1825,Silver,CHN,Hockey,1926914
1826,Silver,CHN,Hockey,1926920
1827,Silver,CHN,Hockey,1926893
1828,Silver,CHN,Hockey,1926908
1829,Silver,CHN,Hockey,1926901
1830,Silver,CHN,Hockey,1926909
1831,Silver,CHN,Hockey,1926894
1832,Silver,CHN,Hockey,1926923
1833,Silver,CHN,Hockey,1926898
1834,Silver,CHN,Hockey,1926895
1835,Silver,CHN,Hockey,1926926
1836,Silver,CHN,Hockey,1926912
1837,Silver,CHN,Hockey,1926922
1838,Silver,CHN,Hockey,1926910
1839,Silver,CHN,Hockey,1926916
1840,Bronze,ARG,Hockey,1538304
1841,Bronze,ARG,Hockey,1538274
1842,Bronze,ARG,Hockey,1538294
1843,Bronze,ARG,Hockey,1538253
1844,Bronze,ARG,Hockey,1538244
1845,Bronze,ARG,Hockey,1538276
1846,Bronze,ARG,Hockey,1538266
1847,Bronze,ARG,Hockey,1538295
1848,Bronze,ARG,Hockey,1538299
1849,Bronze,ARG,Hockey,1538261
1850,Bronze,ARG,Hockey,1538305
1851,Bronze,ARG,Hockey,1538262
1852,Bronze,ARG,Hockey,1538263
1853,Bronze,ARG,Hockey,1538260
1854,Bronze,ARG,Hockey,1538277
1855,Bronze,ARG,Hockey,1900397
1856,Gold,CHN,Table Tennis,1902295
1857,Gold,CHN,Table Tennis,1902300
1858,Gold,CHN,Table Tennis,1902301
1859,Silver,SWE,Table Tennis,1563381
1860,Silver,SWE,Table Tennis,1563386
1861,Silver,SWE,Table Tennis,1563390
1862,Bronze,FRA,Table Tennis,1889178
1863,Bronze,FRA,Table Tennis,1889176
1864,Bronze,FRA,Table Tennis,1889177
1865,Bronze,USA,Volleyball,1917987
1866,Bronze,USA,Volleyball,1917988
1867,Bronze,USA,Volleyball,1917991
1868,Bronze,USA,Volleyball,1917993
1869,Bronze,USA,Volleyball,1918000
1870,Bronze,USA,Volleyball,1918002
1871,Bronze,USA,Volleyball,1918003
1872,Bronze,USA,Volleyball,1917982
1873,Bronze,USA,Volleyball,1918007
1874,Bronze,USA,Volleyball,1918009
1875,Bronze,USA,Volleyball,1918011
1876,Bronze,USA,Volleyball,1918012
1877,Bronze,USA,Volleyball,1917994
1878,Gold,CHN,Artistic Swimming,1908852
1879,Gold,CHN,Artistic Swimming,1908853
1880,Silver,GBR,Artistic Swimming,1544151
1881,Silver,GBR,Artistic Swimming,1980935
1882,Bronze,NED,Artistic Swimming,1972513
1883,Bronze,NED,Artistic Swimming,1972512
1884,Gold,USA,Athletics,1960604
1885,Gold,USA,Athletics,1960684
1886,Gold,USA,Athletics,1960590
1887,Gold,USA,Athletics,1960177
1888,Gold,USA,Athletics,1965202
1889,Gold,USA,Athletics,1965289
1890,Gold,USA,Athletics,1960111
1891,Gold,USA,Athletics,4979564
1892,Silver,BOT,Athletics,4975921
1893,Silver,BOT,Athletics,1950939
1894,Silver,BOT,Athletics,1950897
1895,Silver,BOT,Athletics,1951506
1896,Silver,BOT,Athletics,1950918
1897,Silver,BOT,Athletics,1936983
1898,Bronze,GBR,Athletics,1924406
1899,Bronze,GBR,Athletics,1924409
1900,Bronze,GBR,Athletics,4663897
1901,Bronze,GBR,Athletics,1924426
1902,Bronze,GBR,Athletics,1924430
1903,Bronze,GBR,Athletics,1956853
1904,Bronze,GBR,Athletics,1924402
1905,Gold,USA,Athletics,1960650
1906,Gold,USA,Athletics,4979555
1907,Gold,USA,Athletics,1960984
1908,Gold,USA,Athletics,1961016
1909,Gold,USA,Athletics,1960909
1910,Gold,USA,Athletics,1960179
1911,Gold,USA,Athletics,1965308
1912,Gold,USA,Athletics,1965868
1913,Silver,NED,Athletics,1972078
1914,Silver,NED,Athletics,1972288
1915,Silver,NED,Athletics,1972115
1916,Silver,NED,Athletics,1972240
1917,Silver,NED,Athletics,1972248
1918,Silver,NED,Athletics,4980004
1919,Silver,NED,Athletics,1972251
1920,Bronze,GBR,Athletics,1924383
1921,Bronze,GBR,Athletics,1924437
1922,Bronze,GBR,Athletics,1956846
1923,Bronze,GBR,Athletics,1924464
1924,Bronze,GBR,Athletics,1924463
1925,Bronze,GBR,Athletics,1924470
1926,Bronze,GBR,Athletics,1924506
1927,Bronze,GBR,Athletics,1924509
1928,Gold,USA,Basketball,1954698
1929,Gold,USA,Basketball,1954701
1930,Gold,USA,Basketball,1954714
1931,Gold,USA,Basketball,1954700
1932,Gold,USA,Basketball,1954724
1933,Gold,USA,Basketball,1954705
1934,Gold,USA,Basketball,1954684
1935,Gold,USA,Basketball,1954683
1936,Gold,USA,Basketball,1954709
1937,Gold,USA,Basketball,1954688
1938,Gold,USA,Basketball,1954699
1939,Gold,USA,Basketball,1954687
1940,Silver,FRA,Basketball,1573636
1941,Silver,FRA,Basketball,1573628
1942,Silver,FRA,Basketball,1573627
1943,Silver,FRA,Basketball,1573638
1944,Silver,FRA,Basketball,1573640
1945,Silver,FRA,Basketball,1573632
1946,Silver,FRA,Basketball,1573630
1947,Silver,FRA,Basketball,1573634
1948,Silver,FRA,Basketball,1573633
1949,Silver,FRA,Basketball,1573639
1950,Silver,FRA,Basketball,1573660
1951,Silver,FRA,Basketball,1573642
1952,Bronze,SRB,Basketball,1948421
1953,Bronze,SRB,Basketball,1948420
1954,Bronze,SRB,Basketball,1948413
1955,Bronze,SRB,Basketball,1948404
1956,Bronze,SRB,Basketball,1948416
1957,Bronze,SRB,Basketball,1948407
1958,Bronze,SRB,Basketball,1948411
1959,Bronze,SRB,Basketball,1948417
1960,Bronze,SRB,Basketball,1948408
1961,Bronze,SRB,Basketball,1948405
1962,Bronze,SRB,Basketball,1948402
1963,Bronze,SRB,Basketball,1948418
1964,Gold,SWE,Beach Volleyball,1934586
1965,Gold,SWE,Beach Volleyball,1934579
1966,Silver,GER,Beach Volleyball,1562864
1967,Silver,GER,Beach Volleyball,1562868
1968,Bronze,NOR,Beach Volleyball,1878383
1969,Bronze,NOR,Beach Volleyball,1878386
1970,Gold,POR,Cycling Track,1933816
1971,Gold,POR,Cycling Track,1933821
1972,Silver,ITA,Cycling Track,1923518
1973,Silver,ITA,Cycling Track,1923519
1974,Bronze,DEN,Cycling Track,1879180
1975,Bronze,DEN,Cycling Track,1879160
1976,Gold,USA,Football,1943575
1977,Gold,USA,Football,1943553
1978,Gold,USA,Football,1943542
1979,Gold,USA,Football,1943555
1980,Gold,USA,Football,1943580
1981,Gold,USA,Football,1943566
1982,Gold,USA,Football,1943588
1983,Gold,USA,Football,1943596
1984,Gold,USA,Football,1943591
1985,Gold,USA,Football,1943558
1986,Gold,USA,Football,1943586
1987,Gold,USA,Football,1943550
1988,Gold,USA,Football,1943576
1989,Gold,USA,Football,1943587
1990,Gold,USA,Football,1943585
1991,Gold,USA,Football,1943567
1992,Gold,USA,Football,1943547
1993,Gold,USA,Football,1943574
1994,Gold,USA,Football,4665325
1995,Gold,USA,Football,1943569
1996,Silver,BRA,Football,1967608
1997,Silver,BRA,Football,1967575
1998,Silver,BRA,Football,1967629
1999,Silver,BRA,Football,1967625
2000,Silver,BRA,Football,1967616
2001,Silver,BRA,Football,1967626
2002,Silver,BRA,Football,1967602
2003,Silver,BRA,Football,1967635
2004,Silver,BRA,Football,1967574
2005,Silver,BRA,Football,1967617
2006,Silver,BRA,Football,1967599
2007,Silver,BRA,Football,1967630
2008,Silver,BRA,Football,1967636
2009,Silver,BRA,Football,1967612
2010,Silver,BRA,Football,1967628
2011,Silver,BRA,Football,1967594
2012,Silver,BRA,Football,1967565
2013,Silver,BRA,Football,1967593
2014,Silver,BRA,Football,1967623
2015,Silver,BRA,Football,1967567
2016,Silver,BRA,Football,1967606
2017,Silver,BRA,Football,1967607
2018,Gold,NOR,Handball,1878514
2019,Gold,NOR,Handball,1878518
2020,Gold,NOR,Handball,1878496
2021,Gold,NOR,Handball,1878486
2022,Gold,NOR,Handball,1878515
2023,Gold,NOR,Handball,1878492
2024,Gold,NOR,Handball,1878516
2025,Gold,NOR,Handball,1878511
2026,Gold,NOR,Handball,1878493
2027,Gold,NOR,Handball,1878509
2028,Gold,NOR,Handball,1878501
2029,Gold,NOR,Handball,1878487
2030,Gold,NOR,Handball,1878500
2031,Gold,NOR,Handball,1878495
2032,Gold,NOR,Handball,1878490
2033,Silver,FRA,Handball,1879834
2034,Silver,FRA,Handball,1879845
2035,Silver,FRA,Handball,1879853
2036,Silver,FRA,Handball,1879854
2037,Silver,FRA,Handball,1879842
2038,Silver,FRA,Handball,1879856
2039,Silver,FRA,Handball,1879826
2040,Silver,FRA,Handball,1879830
2041,Silver,FRA,Handball,1879839
2042,Silver,FRA,Handball,1893824
2043,Silver,FRA,Handball,1879831
2044,Silver,FRA,Handball,1879846
2045,Silver,FRA,Handball,1879847
2046,Silver,FRA,Handball,1879836
2047,Silver,FRA,Handball,1946320
2048,Silver,FRA,Handball,1879835
2049,Silver,FRA,Handball,1879851
2050,Bronze,DEN,Handball,1895245
2051,Bronze,DEN,Handball,1895210
2052,Bronze,DEN,Handball,1895215
2053,Bronze,DEN,Handball,1895159
2054,Bronze,DEN,Handball,1895232
2055,Bronze,DEN,Handball,1895250
2056,Bronze,DEN,Handball,1895246
2057,Bronze,DEN,Handball,1895168
2058,Bronze,DEN,Handball,1895224
2059,Bronze,DEN,Handball,1895214
2060,Bronze,DEN,Handball,1895187
2061,Bronze,DEN,Handball,1895213
2062,Bronze,DEN,Handball,1895152
2063,Bronze,DEN,Handball,1895226
2064,Bronze,DEN,Handball,1895166
2065,Gold,CHN,Table Tennis,1902307
2066,Gold,CHN,Table Tennis,1902313
2067,Gold,CHN,Table Tennis,1902314
2068,Silver,JPN,Table Tennis,1931100
2069,Silver,JPN,Table Tennis,1931098
2070,Silver,JPN,Table Tennis,1931101
2071,Bronze,KOR,Table Tennis,1936435
2072,Bronze,KOR,Table Tennis,1936419
2073,Bronze,KOR,Table Tennis,1936425
2074,Gold,FRA,Volleyball,1574049
2075,Gold,FRA,Volleyball,1574045
2076,Gold,FRA,Volleyball,1574055
2077,Gold,FRA,Volleyball,1574057
2078,Gold,FRA,Volleyball,1574048
2079,Gold,FRA,Volleyball,1574061
2080,Gold,FRA,Volleyball,1574041
2081,Gold,FRA,Volleyball,1574067
2082,Gold,FRA,Volleyball,1574046
2083,Gold,FRA,Volleyball,1574058
2084,Gold,FRA,Volleyball,1574060
2085,Gold,FRA,Volleyball,1574065
2086,Gold,FRA,Volleyball,1574043
2087,Silver,POL,Volleyball,1902882
2088,Silver,POL,Volleyball,1902890
2089,Silver,POL,Volleyball,1902892
2090,Silver,POL,Volleyball,1902902
2091,Silver,POL,Volleyball,1902893
2092,Silver,POL,Volleyball,1902886
2093,Silver,POL,Volleyball,1902901
2094,Silver,POL,Volleyball,1902910
2095,Silver,POL,Volleyball,1902881
2096,Silver,POL,Volleyball,1902869
2097,Silver,POL,Volleyball,1902875
2098,Silver,POL,Volleyball,1902880
2099,Silver,POL,Volleyball,1902870
2100,Bronze,BRA,Volleyball,1964076
2101,Bronze,BRA,Volleyball,1964152
2102,Bronze,BRA,Volleyball,1964140
2103,Bronze,BRA,Volleyball,1964180
2104,Bronze,BRA,Volleyball,1964167
2105,Bronze,BRA,Volleyball,1964169
2106,Bronze,BRA,Volleyball,1964094
2107,Bronze,BRA,Volleyball,1964065
2108,Bronze,BRA,Volleyball,1964063
2109,Bronze,BRA,Volleyball,1964106
2110,Bronze,BRA,Volleyball,1964183
2111,Bronze,BRA,Volleyball,1964136
2112,Bronze,BRA,Volleyball,1964151
2113,Gold,ESP,Water Polo,1954878
2114,Gold,ESP,Water Polo,1954897
2115,Gold,ESP,Water Polo,1954877
2116,Gold,ESP,Water Polo,1954893
2117,Gold,ESP,Water Polo,1954895
2118,Gold,ESP,Water Polo,1954875
2119,Gold,ESP,Water Polo,1954900
2120,Gold,ESP,Water Polo,1954894
2121,Gold,ESP,Water Polo,1954880
2122,Gold,ESP,Water Polo,1954874
2123,Gold,ESP,Water Polo,1954881
2124,Gold,ESP,Water Polo,1954886
2125,Gold,ESP,Water Polo,1954903
2126,Silver,AUS,Water Polo,1947514
2127,Silver,AUS,Water Polo,1947523
2128,Silver,AUS,Water Polo,1947513
2129,Silver,AUS,Water Polo,1947506
2130,Silver,AUS,Water Polo,1947540
2131,Silver,AUS,Water Polo,1947497
2132,Silver,AUS,Water Polo,1947508
2133,Silver,AUS,Water Polo,1947541
2134,Silver,AUS,Water Polo,1947546
2135,Silver,AUS,Water Polo,1947498
2136,Silver,AUS,Water Polo,1947528
2137,Silver,AUS,Water Polo,1947512
2138,Silver,AUS,Water Polo,1947515
2139,Bronze,NED,Water Polo,1968845
2140,Bronze,NED,Water Polo,1968848
2141,Bronze,NED,Water Polo,1968857
2142,Bronze,NED,Water Polo,1968858
2143,Bronze,NED,Water Polo,1968860
2144,Bronze,NED,Water Polo,1968855
2145,Bronze,NED,Water Polo,1968851
2146,Bronze,NED,Water Polo,1968847
2147,Bronze,NED,Water Polo,1968856
2148,Bronze,NED,Water Polo,1968850
2149,Bronze,NED,Water Polo,1968854
2150,Bronze,NED,Water Polo,1968853
2151,Bronze,NED,Water Polo,1968846
2152,Gold,USA,Basketball,1954742
2153,Gold,USA,Basketball,1954748
2154,Gold,USA,Basketball,1954739
2155,Gold,USA,Basketball,1954730
2156,Gold,USA,Basketball,1954734
2157,Gold,USA,Basketball,1954757
2158,Gold,USA,Basketball,1954752
2159,Gold,USA,Basketball,1954729
2160,Gold,USA,Basketball,1954753
2161,Gold,USA,Basketball,1954758
2162,Gold,USA,Basketball,1954754
2163,Gold,USA,Basketball,1954735
2164,Silver,FRA,Basketball,1573445
2165,Silver,FRA,Basketball,1573442
2166,Silver,FRA,Basketball,1573452
2167,Silver,FRA,Basketball,1573439
2168,Silver,FRA,Basketball,1573454
2169,Silver,FRA,Basketball,1573455
2170,Silver,FRA,Basketball,1573451
2171,Silver,FRA,Basketball,1573457
2172,Silver,FRA,Basketball,1573440
2173,Silver,FRA,Basketball,1573448
2174,Silver,FRA,Basketball,1573449
2175,Silver,FRA,Basketball,1573441
2176,Bronze,AUS,Basketball,1939955
2177,Bronze,AUS,Basketball,1939956
2178,Bronze,AUS,Basketball,1939970
2179,Bronze,AUS,Basketball,1939971
2180,Bronze,AUS,Basketball,1939943
2181,Bronze,AUS,Basketball,1939952
2182,Bronze,AUS,Basketball,1939964
2183,Bronze,AUS,Basketball,1939948
2184,Bronze,AUS,Basketball,1939946
2185,Bronze,AUS,Basketball,1939954
2186,Bronze,AUS,Basketball,1939959
2187,Bronze,AUS,Basketball,1939967
2188,Gold,DEN,Handball,1895223
