,medal_type,country_code,discipline,code_athlete
385,Bronze,MAS,Badminton,1566617
386,Gold,KOR,Badminton,1891498
387,Silver,CHN,Badminton,1913436
388,Gold,NZL,Canoe Slalom,1945386
389,Silver,GBR,Canoe Slalom,1896032
390,Bronze,GER,Canoe Slalom,1913780
391,Gold,AUS,Canoe Slalom,1940209
392,Silver,FRA,Canoe Slalom,1880483
393,Bronze,GBR,Canoe Slalom,1896045
394,Gold,CHN,Shooting,1913913
395,Silver,KOR,Shooting,1893852
396,Bronze,CHN,Shooting,1913919
397,Gold,FRA,Surfing,1567361
398,Silver,AUS,Surfing,1946129
399,Bronze,BRA,Surfing,1955778
400,Gold,USA,Surfing,1943206
401,Silver,BRA,Surfing,1955783
402,Bronze,FRA,Surfing,1567359
403,Gold,USA,Athletics,1960933
404,Silver,GBR,Athletics,1924440
405,Bronze,USA,Athletics,1965327
406,Gold,GRE,Athletics,1961246
407,Silver,JAM,Athletics,1938899
408,Bronze,ITA,Athletics,1552378
409,Gold,USA,Athletics,1965868
410,Silver,LCA,Athletics,1537325
411,Bronze,USA,Athletics,1960588
412,Gold,BRN,Athletics,1926102
413,Silver,UGA,Athletics,1971686
414,Bronze,KEN,Athletics,1910453
415,Gold,CAN,Athletics,1974290
416,Silver,USA,Athletics,1960899
417,Bronze,CHN,Athletics,1919077
418,Bronze,USA,Boxing,1955645
419,Bronze,GBR,Boxing,1912009
420,Bronze,KAZ,Boxing,1931331
421,Bronze,PHI,Boxing,1979870
422,Gold,IRL,Boxing,1555098
423,Silver,CHN,Boxing,1926828
424,Bronze,THA,Boxing,1898283
425,Bronze,TPE,Boxing,1887975
426,Gold,CHN,Diving,1901545
427,Silver,CHN,Diving,1901544
428,Bronze,PRK,Diving,1980115
429,Gold,GER,Equestrian,1914912
430,Silver,SUI,Equestrian,1976553
431,Bronze,NED,Equestrian,1976879
432,Gold,AUS,Skateboarding,1946064
433,Silver,JPN,Skateboarding,1902075
434,Bronze,GBR,Skateboarding,1544123
435,Gold,CUB,Wrestling,1571506
436,Silver,CHI,Wrestling,1935199
437,Bronze,IRI,Wrestling,1544882
438,Bronze,CHN,Wrestling,1919983
439,Gold,JPN,Wrestling,1939713
440,Silver,CHN,Wrestling,1919973
441,Bronze,KGZ,Wrestling,1566631
442,Bronze,PRK,Wrestling,1980153
443,Gold,USA,Wrestling,1955304
444,Silver,KGZ,Wrestling,1568241
445,Bronze,TUR,Wrestling,1570415
446,Bronze,JPN,Wrestling,1939709
447,Gold,MAR,Athletics,1555372
448,Silver,USA,Athletics,1965896
449,Bronze,KEN,Athletics,1910445
450,Gold,USA,Athletics,1960177
451,Silver,GBR,Athletics,1924430
452,Bronze,ZAM,Athletics,1937531
453,Gold,JAM,Athletics,1912322
454,Silver,LTU,Athletics,1922593
455,Bronze,AUS,Athletics,1939824
456,Gold,AUS,Athletics,1939839
457,Silver,USA,Athletics,1965268
458,Bronze,CAN,Athletics,1974216
459,Bronze,GER,Boxing,1895903
460,Bronze,FRA,Boxing,1879120
461,Gold,CUB,Boxing,1555537
462,Silver,FRA,Boxing,1879111
463,Gold,UKR,Boxing,1564362
464,Silver,KAZ,Boxing,1932824
465,Bronze,TUR,Boxing,1568204
466,Bronze,PHI,Boxing,1979904
467,Gold,AUS,Sailing,1945990
468,Silver,CYP,Sailing,1905347
469,Bronze,PER,Sailing,1944316
470,Gold,NED,Sailing,1970500
471,Silver,DEN,Sailing,1895121
472,Bronze,NOR,Sailing,1878602
473,Gold,AUS,Skateboarding,1946074
474,Silver,USA,Skateboarding,1944247
475,Bronze,BRA,Skateboarding,1955669
476,Gold,POL,Sport Climbing,1563327
477,Silver,CHN,Sport Climbing,1913702
478,Bronze,POL,Sport Climbing,1563321
479,Gold,KOR,Taekwondo,1904040
480,Silver,AZE,Taekwondo,1946883
481,Bronze,FRA,Taekwondo,1893274
482,Bronze,TUN,Taekwondo,1947736
483,Gold,THA,Taekwondo,1902841
484,Silver,CHN,Taekwondo,1910372
485,Bronze,IRI,Taekwondo,1536064
486,Bronze,CRO,Taekwondo,1569986
487,Gold,CHN,Weightlifting,1918372
488,Silver,THA,Weightlifting,1898059
489,Bronze,USA,Weightlifting,1917153
490,Gold,CHN,Weightlifting,1918377
491,Silver,ROU,Weightlifting,1550148
492,Bronze,THA,Weightlifting,1898024
493,Gold,JPN,Wrestling,1939692
494,Silver,KAZ,Wrestling,1958652
495,Bronze,ARM,Wrestling,1532873
496,Bronze,KGZ,Wrestling,1566627
497,Gold,IRI,Wrestling,1544897
498,Silver,ARM,Wrestling,1532872
