,code_athlete,name,country_code,country,discipline,medal_type
5709,1919073,JIANG Zhichao,CHN,China,Athletics,
5710,1919076,WANG Zheng,CHN,China,Athletics,
5711,1919077,ZHAO Jie,CHN,China,Athletics,Bronze
5712,1919082,DAI Qianqian,CHN,China,Athletics,
5713,1919085,LYU Huihui,CHN,China,Athletics,
5714,1919087,GONG Lijiao,CHN,China,Athletics,
5715,1919094,LI Jiangyan,CHN,China,Athletics,
5716,1919102,WANG Qi,CHN,China,Athletics,
5717,1919110,YANG Shaohui,CHN,China,Athletics,
5718,1919111,HE Jie,CHN,China,Athletics,
5719,1919117,WU Xiangdong,CHN,China,Athletics,
5720,1919120,ZHANG Deshun,CHN,China,Athletics,
5721,1919121,BAI Li,CHN,China,Athletics,
5722,1919129,XIA Yuyu,CHN,China,Athletics,
5723,1919146,XU Shuangshuang,CHN,China,Athletics,
5724,1919365,NAKAMURA Haruka,JPN,Japan,Artistic Gymnastics,
5725,1919408,KISHI Rina,JPN,Japan,Artistic Gymnastics,
5726,1919416,USHIOKU Kohane,JPN,Japan,Artistic Gymnastics,
5727,1919473,OKAMURA Mana,JPN,Japan,Artistic Gymnastics,
5728,1919479,SUGINO Takaaki,JPN,Japan,Artistic Gymnastics,Gold
5729,1919480,OKA Shinnosuke,JPN,Japan,Artistic Gymnastics,Gold
5730,1919480,OKA Shinnosuke,JPN,Japan,Artistic Gymnastics,Gold
5731,1919480,OKA Shinnosuke,JPN,Japan,Artistic Gymnastics,Bronze
5732,1919480,OKA Shinnosuke,JPN,Japan,Artistic Gymnastics,Gold
5733,1919490,TANIGAWA Wataru,JPN,Japan,Artistic Gymnastics,Gold
5734,1919491,KAYA Kazuma,JPN,Japan,Artistic Gymnastics,Gold
5735,1919492,HASHIMOTO Daiki,JPN,Japan,Artistic Gymnastics,Gold
5736,1919507,ABDUSALOMOVA Munira,TJK,Tajikistan,Taekwondo,
5737,1919526,BLAZICKOVA Veronika,CZE,Czechia,Shooting,
5738,1919541,LIPTAK Jiri,CZE,Czechia,Shooting,
5739,1919546,NYMBURSKY Petr,CZE,Czechia,Shooting,
5740,1919548,PODHRASKY Martin,CZE,Czechia,Shooting,
5741,1919549,PRIVRATSKY Jiri,CZE,Czechia,Shooting,
5742,1919551,RAMPULA Matej,CZE,Czechia,Shooting,
5743,1919555,SMETANA Frantisek,CZE,Czechia,Shooting,
5744,1919558,SUMOVA Barbora,CZE,Czechia,Shooting,
5745,1919561,TOMECEK Jakub,CZE,Czechia,Shooting,
5746,1919616,NISHIOKA Ryusei,JPN,Japan,Trampoline Gymnastics,
5747,1919628,MORI Hikaru,JPN,Japan,Trampoline Gymnastics,
5748,1919675,GURTSIEV Georgiy,AIN,AIN,Taekwondo,
5749,1919721,CHAIYASOMBAT Thanakhan,THA,Thailand,Cycling Road,
5750,1919737,SOMRAT Phetdarin,THA,Thailand,Cycling Road,
5751,1919789,AKAMATSU Ryoichi,JPN,Japan,Athletics,
5752,1919790,AKASAKI Akira,JPN,Japan,Athletics,
5753,1919793,AOKI Ryoma,JPN,Japan,Athletics,
5754,1919803,DEAN Roderick Genki,JPN,Japan,Athletics,
5755,1919811,FUJII Nanako,JPN,Japan,Athletics,
5756,1919815,FUKUBE Mako,JPN,Japan,Athletics,
5757,1919820,GOSHIMA Rino,JPN,Japan,Athletics,
5758,1919821,GOTO Yume,JPN,Japan,Athletics,
5759,1919822,HAMANISHI Ryo,JPN,Japan,Athletics,
5760,1919826,HASHIOKA Yuki,JPN,Japan,Athletics,
5761,1919827,HATA Sumire,JPN,Japan,Athletics,
5762,1919832,HIGASHIDA Akihiro,JPN,Japan,Athletics,
5763,1919847,IIZUKA Shota,JPN,Japan,Athletics,
5764,1919850,IKEDA Koki,JPN,Japan,Athletics,
5765,1919880,IZUMIYA Shunsuke,JPN,Japan,Athletics,
5766,1919882,KABASAWA Wakana,JPN,Japan,Athletics,
5767,1919895,KAWABATA Kaito,JPN,Japan,Athletics,
5768,1919901,KAWANO Masatora,JPN,Japan,Athletics,
5769,1919911,KIRYU Yoshihide,JPN,Japan,Athletics,
5770,1919914,KITAGUCHI Haruka,JPN,Japan,Athletics,Gold
5771,1919921,KOGA Yuta,JPN,Japan,Athletics,
5772,1919924,KOKAI Haruka,JPN,Japan,Athletics,
5773,1919930,KOYAMA Naoki,JPN,Japan,Athletics,
5774,1919973,CAO Liguo,CHN,China,Wrestling,Silver
5775,1919979,QIAN Haitao,CHN,China,Wrestling,
5776,1919983,MENG Lingzhe,CHN,China,Wrestling,Bronze
5777,1919986,ZOU Wanhao,CHN,China,Wrestling,
5778,1919992,LU Feng,CHN,China,Wrestling,
5779,1919996,HABILA Awusayiman,CHN,China,Wrestling,
5780,1919998,DENG Zhiwei,CHN,China,Wrestling,
5781,1920000,FENG Ziqi,CHN,China,Wrestling,Bronze
5782,1920006,PANG Qianyu,CHN,China,Wrestling,Bronze
5783,1920010,HONG Kexin,CHN,China,Wrestling,Bronze
5784,1920016,ZHOU Feng,CHN,China,Wrestling,
