,code,current,name,name_short,name_tv,gender,function,country_code,country,country_long,nationality,nationality_long,nationality_code,height,weight,disciplines,events,birth_date
9944,1967607,True,LUCIANA,LUCIANA,LUCIANA,Female,Athlete,BRA,Brazil,Brazil,Brazil,Brazil,BRA,171.0,0.0,['Football'],['Women'],1987-07-24
9945,1967608,True,LORENA,LORENA,LORENA,Female,Athlete,BRA,Brazil,Brazil,Brazil,Brazil,BRA,182.0,0.0,['Football'],['Women'],1997-05-06
9946,1967612,True,LUDMILA,LUDMILA,LUDMILA,Female,Athlete,BRA,Brazil,Brazil,Brazil,Brazil,BRA,163.0,0.0,['Football'],['Women'],1994-12-01
9947,1967616,True,DUDA SAMPAIO,DUDA SAMPAIO,DUDA SAMPAIO,Female,Athlete,BRA,Brazil,Brazil,Brazil,Brazil,BRA,169.0,0.0,['Football'],['Women'],2001-05-18
9948,1967617,True,MARTA,MARTA,MARTA,Female,Athlete,BRA,Brazil,Brazil,Brazil,Brazil,BRA,162.0,0.0,['Football'],['Women'],1986-02-19
9949,1967623,True,PRISCILA,PRISCILA,PRISCILA,Female,Athlete,BRA,Brazil,Brazil,Brazil,Brazil,BRA,170.0,0.0,['Football'],['Women'],2004-08-22
9950,1967625,True,RAFAELLE,RAFAELLE,RAFAELLE,Female,Athlete,BRA,Brazil,Brazil,Brazil,Brazil,BRA,175.0,0.0,['Football'],['Women'],1991-06-18
9951,1967626,True,TAMIRES,TAMIRES,TAMIRES,Female,Athlete,BRA,Brazil,Brazil,Brazil,Brazil,BRA,161.0,0.0,['Football'],['Women'],1987-10-10
9952,1967628,True,THAIS,THAIS,THAIS,Female,Athlete,BRA,Brazil,Brazil,Brazil,Brazil,BRA,180.0,0.0,['Football'],['Women'],1996-05-01
9953,1967629,True,TARCIANE,TARCIANE,TARCIANE,Female,Athlete,BRA,Brazil,Brazil,Brazil,Brazil,BRA,184.0,0.0,['Football'],['Women'],2003-05-27
9954,1967630,True,TAINA,TAINA,TAINA,Female,Athlete,BRA,Brazil,Brazil,Brazil,Brazil,BRA,185.0,0.0,['Football'],['Women'],1995-05-01
9955,1967635,True,VITORIA YAYA,VITORIA YAYA,VITORIA YAYA,Female,Athlete,BRA,Brazil,Brazil,Brazil,Brazil,BRA,167.0,0.0,['Football'],['Women'],2002-01-23
9956,1967636,True,YASMIM,YASMIM,YASMIM,Female,Athlete,BRA,Brazil,Brazil,Brazil,Brazil,BRA,165.0,0.0,['Football'],['Women'],1996-10-28
9957,1967638,True,PEREZ PENA Andrea,PEREZ PENA A,Andrea PEREZ PENA,Female,Athlete,ECU,Ecuador,Ecuador,Ecuador,Ecuador,ECU,0.0,0.0,['Shooting'],"['10m Air Pistol Women', '25m Pistol Women']",1990-04-07
9958,1967691,True,DURANGO FLORES Diana,DURANGO FLORES D,Diana DURANGO FLORES,Female,Athlete,ECU,Ecuador,Ecuador,Ecuador,Ecuador,ECU,0.0,0.0,['Shooting'],"['10m Air Pistol Women', '25m Pistol Women']",1988-10-02
9959,1967710,True,DHESI Amarveer,DHESI A,Amarveer DHESI,Male,Athlete,CAN,Canada,Canada,Canada,Canada,CAN,0.0,0.0,['Wrestling'],"[""Men's Freestyle 125kg""]",1995-09-02
9960,1967713,True,di STASIO Justina Renay,di STASIO JR,Justina Renay di STASIO,Female,Athlete,CAN,Canada,Canada,Canada,Canada,CAN,0.0,0.0,['Wrestling'],"[""Women's Freestyle 76kg""]",1992-11-22
9961,1967719,True,GODINEZ GONZALEZ Ana Paula,GODINEZ GONZALEZ A,Ana Paula GODINEZ GONZALEZ,Female,Athlete,CAN,Canada,Canada,Canada,Canada,CAN,0.0,0.0,['Wrestling'],"[""Women's Freestyle 62kg""]",1999-11-26
9962,1967726,True,MOORE Alexander Robert,MOORE AR,Alexander Robert MOORE,Male,Athlete,CAN,Canada,Canada,Canada,Canada,CAN,0.0,0.0,['Wrestling'],"[""Men's Freestyle 86kg""]",1997-08-18
